VectorDB,Embedder,Chunk Size,Overlap,Question Number,Context Retrieval Time,Context Retrieval Memory
FAISS,Instructor,200,50,1,5921.875,92.9638671875
FAISS,Instructor,200,50,2,4312.5,27.2275390625
FAISS,Instructor,200,50,3,4734.375,22.4111328125
FAISS,Instructor,200,50,4,2265.625,16.189453125
FAISS,Instructor,200,50,5,8703.125,14.3525390625
FAISS,Instructor,500,100,1,5312.5,16.400390625
FAISS,Instructor,500,100,2,3718.75,13.994140625
FAISS,Instructor,500,100,3,4593.75,13.275390625
FAISS,Instructor,500,100,4,2484.375,13.806640625
FAISS,Instructor,500,100,5,7937.5,13.275390625
FAISS,Instructor,1000,200,1,5187.5,15.8642578125
FAISS,Instructor,1000,200,2,4078.125,15.490234375
FAISS,Instructor,1000,200,3,4875.0,13.8212890625
FAISS,Instructor,1000,200,4,2765.625,13.8212890625
FAISS,Instructor,1000,200,5,8937.5,13.275390625
FAISS,MiniLM,200,50,1,4031.25,24.427734375
FAISS,MiniLM,200,50,2,140.625,20.4560546875
FAISS,MiniLM,200,50,3,15.625,12.8623046875
FAISS,MiniLM,200,50,4,15.625,10.3076171875
FAISS,MiniLM,200,50,5,31.25,9.7080078125
FAISS,MiniLM,500,100,1,203.125,13.2529296875
FAISS,MiniLM,500,100,2,156.25,10.2451171875
FAISS,MiniLM,500,100,3,15.625,10.0576171875
FAISS,MiniLM,500,100,4,31.25,9.986328125
FAISS,MiniLM,500,100,5,125.0,9.1767578125
FAISS,MiniLM,1000,200,1,125.0,12.6357421875
FAISS,MiniLM,1000,200,2,31.25,10.2451171875
FAISS,MiniLM,1000,200,3,31.25,10.0576171875
FAISS,MiniLM,1000,200,4,15.625,10.0576171875
FAISS,MiniLM,1000,200,5,78.125,9.1767578125
FAISS,MPNet,200,50,1,343.75,26.4970703125
FAISS,MPNet,200,50,2,343.75,16.337890625
FAISS,MPNet,200,50,3,250.0,9.673828125
FAISS,MPNet,200,50,4,218.75,8.634765625
FAISS,MPNet,200,50,5,640.625,9.783203125
FAISS,MPNet,500,100,1,250.0,23.2548828125
FAISS,MPNet,500,100,2,187.5,8.986328125
FAISS,MPNet,500,100,3,203.125,8.634765625
FAISS,MPNet,500,100,4,421.875,8.634765625
FAISS,MPNet,500,100,5,640.625,8.634765625
FAISS,MPNet,1000,200,1,281.25,22.9423828125
FAISS,MPNet,1000,200,2,265.625,8.861328125
FAISS,MPNet,1000,200,3,218.75,8.634765625
FAISS,MPNet,1000,200,4,187.5,8.634765625
FAISS,MPNet,1000,200,5,609.375,8.634765625
