DB,Embedder,Chunk Size,Overlap,Question Number,Context Retrieval Time,Context Retrieval Memory
Redis,MiniLM,200,50,0,121.659,76.9365234375
Redis,MiniLM,200,50,1,113.94,86.771484375
Redis,MiniLM,200,50,2,117.842,77.4794921875
Redis,MiniLM,200,50,3,101.334,76.388671875
Redis,MiniLM,200,50,4,114.066,75.349609375
Redis,MiniLM,500,100,0,118.91,74.0439453125
Redis,MiniLM,500,100,1,112.899,74.0439453125
Redis,MiniLM,500,100,2,120.527,74.1865234375
Redis,MiniLM,500,100,3,97.959,74.115234375
Redis,MiniLM,500,100,4,117.805,73.986328125
Redis,MiniLM,1000,200,0,115.37,74.1865234375
Redis,MiniLM,1000,200,1,117.568,74.0439453125
Redis,MiniLM,1000,200,2,117.533,73.986328125
Redis,MiniLM,1000,200,3,109.475,73.97265625
Redis,MiniLM,1000,200,4,112.28,74.0439453125
Redis,Instructor,200,50,0,3115.627,76.6064453125
Redis,Instructor,200,50,1,3059.132,76.677734375
Redis,Instructor,200,50,2,3005.057,76.8203125
Redis,Instructor,200,50,3,2918.834,76.701171875
Redis,Instructor,200,50,4,2902.856,76.6298828125
Redis,Instructor,500,100,0,3205.745,76.8203125
Redis,Instructor,500,100,1,3104.356,76.7490234375
Redis,Instructor,500,100,2,3081.347,76.6201171875
Redis,Instructor,500,100,3,2905.95,76.55859375
Redis,Instructor,500,100,4,2912.322,76.701171875
Redis,Instructor,1000,200,0,3133.14,76.677734375
Redis,Instructor,1000,200,1,3135.324,76.6201171875
Redis,Instructor,1000,200,2,3133.148,76.677734375
Redis,Instructor,1000,200,3,2858.342,76.55859375
Redis,Instructor,1000,200,4,2986.666,76.6298828125
Redis,MPNet,200,50,0,505.321,78.0439453125
Redis,MPNet,200,50,1,453.745,77.8095703125
Redis,MPNet,200,50,2,462.47,78.4267578125
Redis,MPNet,200,50,3,498.301,77.8330078125
Redis,MPNet,200,50,4,484.42,77.7041015625
Redis,MPNet,500,100,0,443.981,77.8095703125
Redis,MPNet,500,100,1,426.93,77.73828125
Redis,MPNet,500,100,2,482.578,77.73828125
Redis,MPNet,500,100,3,502.273,77.8330078125
Redis,MPNet,500,100,4,500.479,77.8330078125
Redis,MPNet,1000,200,0,431.366,77.8095703125
Redis,MPNet,1000,200,1,396.094,77.73828125
Redis,MPNet,1000,200,2,374.285,77.8095703125
Redis,MPNet,1000,200,3,481.808,77.76171875
Redis,MPNet,1000,200,4,495.614,77.8330078125
